turning_name,turning_number,turning_year_begin,turning_year_end,saeculum_name,entering_elderhood,entering_midlife,entering_young_adulthood,entering_childhood,turning_notes,elderhoood,midlife,young_adulthood,childhood,families,child_nurture,gap_between_gender_roles,ideals,institutions,culture,social_structure,worldview,special_priority,social_motivator,sense_of_greatest_need,vision_of_future,wars,turning_type,generation_name,childhood_turning_entered,turnings_archetype,generations_archetype,birth_year_begin,birth_year_end,childhood_turning_description,wikipedia_url
Merrie England,1,1594,1621,New World,Reprisal,Elizabethans,Parliamentarians,Puritans,"Merrie England (First Turning, 1594–1621) was an age of optimism and prosperity, full of dreams of empire yet tempered by a wariness of enemies abroad. For the arts, this was the true English Renaissance and for literature, the glorious ""Age of Shakespeare."" After succeeding Elizabeth in 1601, James I encouraged learning, exploration, and trade. His elaborately polite relations with the Commons began to wear thin late in the second decade of his reign.",Nomad,Hero,Artist,Prophet,Strong,Loosening,Maximum,Settled,Reinforced,Innocent,Unified,Simple,Maximum Community,Shame,Do What Works,Brightening,Restorative,High,Puritan,1,Prophet,Idealist,1588,1617.0,Merrie England,
The Augustan Age of Empire,1,1704,1727,Revolutionary,Cavaliers,Glorious,Enlighteners,Awakeners,"The Augustan Age of Empire (First Turning, 1704–1727) witnessed the first confident flowering of provincial civilization with booming trade, rising living standards, recognizable (northern) urban centers, and massive (southern) imports of African slaves. Lauding social discipline, Americans took pride in the growing might of Britain's empire. Socially, this was the periwigged apogee of colonial politesse; culturally, it was an age of credentials, wit, and Royal Society rationalism.",Nomad,Hero,Artist,Prophet,Strong,Loosening,Maximum,Settled,Reinforced,Innocent,Unified,Simple,Maximum Community,Shame,Do What Works,Brightening,Restorative,High,Awakening,1,Prophet,Idealist,1701,1723.0,Augustan Age of Empire,
The Era of Good Feelings,1,1794,1822,Civil War,Liberty,Republicans,Compromisers,Transcendentals,"The Era of Good Feelings (First Turning, 1794–1822) witnessed what Joel Barlow called The Conquest of Canaan an era of epical social harmony and empire building. Vast new territories were mapped and settled. Canals, steamboats, and turnpikes pushed back the wilderness. Even a blundering war (of 1812) ended up unifying the nation. Civil disorder was rare — as was spiritual curiosity in an era (wrote Emerson) ""able to produce not a book…or a thought worth noticing.""",Nomad,Hero,Artist,Prophet,Strong,Loosening,Maximum,Settled,Reinforced,Innocent,Unified,Simple,Maximum Community,Shame,Do What Works,Brightening,Restorative,High,Transcendental,1,Prophet,Idealist,1792,1821.0,Era of Good Feelings,
Reconstruction & Gilded Age,1,1865,1886,Great Power,Transcendentals,Gilded,Progressives,Missionaries,"Reconstruction & Gilded Age (First Turning, 1865–1886) saw old crusaders pushed aside while, notes Van Wyck Brooks, war veterans who ""might have been writers in the days of The Dial were seeking their fortunes in railroads, mines, and oil wells."" Savings rates climbed, mass production roared, mechanical and political ""machines"" hummed, real wages surged, and ""middle-class"" families prospered in an age of pragmatism that vaunted ""truth's cash value.""",Nomad,Hero,Artist,Prophet,Strong,Loosening,Maximum,Settled,Reinforced,Innocent,Unified,Simple,Maximum Community,Shame,Do What Works,Brightening,Restorative,High,Missionary,1,Prophet,Idealist,1860,1882.0,"Reconstruction, Gilded Age",
The American High,1,1946,1964,Millennial,Lost,G.I.s,Silent,Boomers,"The American High (First Turning, 1946–1964) witnessed America's ascendancy as a global superpower. Social movements stalled. The middle class grew and prospered. Churches buttressed government. Huge peacetime defense budgets were uncontroversial. Mass tastes thrived atop a collectivist infrastructure of suburbs, interstates, and regulated communication. Declaring ""an end to ideology,"" respected authorities presided over a bland, modernist, and spirit-dead culture.",Nomad,Hero,Artist,Prophet,Strong,Loosening,Maximum,Settled,Reinforced,Innocent,Unified,Simple,Maximum Community,Shame,Do What Works,Brightening,Restorative,High,Baby Boom,1,Prophet,Idealist,1943,1960.0,"Superpower America, Golden Age of Capitalism",https://en.wikipedia.org/wiki/Baby_boomers
The Puritan Awakening,2,1621,1649,New World,Elizabethans,Parliamentarians,Puritans,Cavaliers,"The Puritan Awakening (Second Turning, 1621–1649) began with Parliament's ""Great Protestation."" Upon the accession of James' son, the reformist urge turned radical and gained popular momentum. Seeking religious exile, John Winthrop led a ""saving remnant"" of true believers to America. In England, this Puritan Enthusiasm led to the Long Parliament (in 1640), civil war, and the execution of Charles I (in 1649). In the new wilderness colonies, the experimental fervor receded, leaving isolated settlements seeking an enforceable moral orthodoxy.",Hero,Artist,Prophet,Nomad,Weakening,Underprotective,Narrowing,Discovered,Attacked,Passionate,Splintering,Complicating,Rising Individualism,Conscience,Fix Inner World,Euphoric,Controversial,Awakening,Cavalier,2,Nomad,Reactive,1618,1647.0,"Puritan Awakening,Antinomian Controversy",
The Great Awakening,2,1727,1746,Revolutionary,Glorious,Enlighteners,Awakeners,Liberty,"The Great Awakening (Second Turning, 1727–1746) began as a spiritual revival in the Connecticut Valley and reached an hysterical peak in the northern colonies (in 1741) with the preachings of George Whitefield and the tracts of Jonathan Edwards. The enthusiasm split towns and colonial assemblies, shattered the ""old light"" establishment, and pitted young believers in ""faith"" against elder defenders of ""works."" After bursting polite conventions and lingering Old World social barriers, the enthusiasm receded during King George's War.",Hero,Artist,Prophet,Nomad,Weakening,Underprotective,Narrowing,Discovered,Attacked,Passionate,Splintering,Complicating,Rising Individualism,Conscience,Fix Inner World,Euphoric,Controversial,Awakening,Liberty,2,Nomad,Reactive,1724,1741.0,"Great Awakening, Age of Enlightenment",
The Transcendental Awakening,2,1822,1844,Civil War,Republicans,Compromisers,Transcendentals,Gilded,"The Transcendental Awakening (Second Turning, 1822–1844) began with Charles Finney's evangelicalism and Denmark Vesey's slave revolt. Soon merging with Jacksonian populism, it peaked (in 1831) with Nat Turner's Rebellion, the founding of shrill abolitionist societies, and the rise of splinter political parties. After spawning a floodtide of ""romantic idealism"" — including feminism, new prophetic religions, food fads, and utopian communes — the mood gentrified in the early 1840s into a credo of self-help, moral uplift, and manifest destiny.",Hero,Artist,Prophet,Nomad,Weakening,Underprotective,Narrowing,Discovered,Attacked,Passionate,Splintering,Complicating,Rising Individualism,Conscience,Fix Inner World,Euphoric,Controversial,Awakening,Gilded,2,Nomad,Reactive,1822,1842.0,"Transcendental Awakening, Romanticism, Abolitionism",
The Third Great Awakening,2,1886,1908,Great Power,Gilded,Progressives,Missionaries,Lost,"The Third Great Awakening (Second Turning, 1886–1908), began with the Haymarket Riot and the student missionary movement, rose with agrarian protest and labor violence, and climaxed in Bryan's revivalist candidacy (in 1896). Gilded Age realism came under harsh attack from trust-blasting muckrakers, Billy Sunday evangelicals, ""new woman"" feminists, and chautauqua dreamers. After radicalizing and splitting the Progressive movement, the passion cooled when William Howard Taft succeeded Teddy Roosevelt in the White House.",Hero,Artist,Prophet,Nomad,Weakening,Underprotective,Narrowing,Discovered,Attacked,Passionate,Splintering,Complicating,Rising Individualism,Conscience,Fix Inner World,Euphoric,Controversial,Awakening,Lost,2,Nomad,Reactive,1883,1900.0,"Missionary Awakening, Progressive era",https://en.wikipedia.org/wiki/Lost_Generation
The Consciousness Revolution,2,1964,1984,Millennial,G.I.s,Silent,Boomers,Xers,"The Consciousness Revolution (Second Turning, 1964–1984), which began with urban riots and campus fury, swelled alongside Vietnam war protests and a rebellious ""counterculture."" It gave rise to feminist, environmental, and black power movements — and to a steep rise in violent crime and family breakup. After the fury peaked with Watergate (in 1974), passions turned inward toward New Age lifestyles and spiritual rebirth. The mood expired during Reagan's upbeat reelection campaign, as onetime hippies reached their yuppie chrysalis.",Hero,Artist,Prophet,Nomad,Weakening,Underprotective,Narrowing,Discovered,Attacked,Passionate,Splintering,Complicating,Rising Individualism,Conscience,Fix Inner World,Euphoric,Controversial,Awakening,13th,2,Nomad,Reactive,1961,1981.0,"Consciousness Revolution, Fourth Great Awakening",https://en.wikipedia.org/wiki/Generation_X
