turning_name,turning_number,turning_begin_year,turning_end_year,saeculum_name,entering_elderhood,entering_midlife,entering_young_adulthood,entering_childhood,turning_notes
The Era of Good Feelings,1,1794,1822,Civil War,Liberty,Republicans,Compromisers,Transcendentals,"The Era of Good Feelings (First Turning, 1794–1822) witnessed what Joel Barlow called The Conquest of Canaan an era of epical social harmony and empire building. Vast new territories were mapped and settled. Canals, steamboats, and turnpikes pushed back the wilderness. Even a blundering war (of 1812) ended up unifying the nation. Civil disorder was rare—as was spiritual curiosity in an era (wrote Emerson) ""able to produce not a book…or a thought worth noticing."""
The Transcendental Awakening,2,1822,1844,Civil War,Republicans,Compromisers,Transcendentals,Gilded,"The Transcendental Awakening (Second Turning, 1822–1844) began with Charles Finney's evangelicalism and Denmark Vesey's slave revolt. Soon merging with Jacksonian populism, it peaked (in 1831) with Nat Turner's Rebellion, the founding of shrill abolitionist societies, and the rise of splinter political parties. After spawning a floodtide of ""romantic idealism""—including feminism, new prophetic religions, food fads, and utopian communes— the mood gentrified in the early 1840s into a credo of self-help, moral uplift, and manifest destiny."
The Mexican War & Sectionalism,3,1844,1860,Civil War,Compromisers,Transcendentals,Gilded,Progressives,"The Mexican War & Sectionalism (Third Turning, 1844–1860) was an era of ""almighty dollar"" commercialism, western ""gold fever,"" Whitmanesque self-worship, and nativist slogans against Mexicans and Irish. Beneath trimming national leaders, rising tempers launched competing moral crusades. By the late 1850s—from Kansas to Harper's Ferry, Dred Scott to the Underground Railroad—visions of the nation's future were separating into two irreconcilable regional loyalties."
The Civil War,4,1860,1865,Civil War,Transcendentals,Gilded,Progressives,Missionaries,"The Civil War (Fourth Turning, 1860–1865) began with a presidential election that many southerners interpreted as an invitation to secede. The attack on Fort Sumter triggered the most violent conflict ever fought on New World soil. The war reached its climax in the Emancipation Proclamation and Battle of Gettysburg (in 1863). Two years later, the Confederacy was beaten into bloody submission and Lincoln was assassinated— a grim end to a crusade many had hoped would ""trample out the vintage where the grapes of wrath are stored."""
Reconstruction & Gilded Age,1,1865,1886,Great Power,Transcendentals,Gilded,Progressives,Missionaries,"Reconstruction & Gilded Age (First Turning, 1865–1886) saw old crusaders pushed aside while, notes Van Wyck Brooks, war veterans who ""might have been writers in the days of The Dial were seeking their fortunes in railroads, mines, and oil wells."" Savings rates climbed, mass production roared, mechanical and political ""machines"" hummed, real wages surged, and ""middle-class"" families prospered in an age of pragmatism that vaunted ""truth's cash value."""
The Third Great Awakening,2,1886,1908,Great Power,Gilded,Progressives,Missionaries,Lost,"The Third Great Awakening (Second Turning, 1886–1908), began with the Haymarket Riot and the student missionary movement, rose with agrarian protest and labor violence, and climaxed in Bryan's revivalist candidacy (in 1896). Gilded Age realism came under harsh attack from trust-blasting muckrakers, Billy Sunday evangelicals, ""new woman"" feminists, and chautauqua dreamers. After radicalizing and splitting the Progressive movement, the passion cooled when William Howard Taft succeeded Teddy Roosevelt in the White House."
World War I & Prohibition,3,1908,1929,Great Power,Progressives,Missionaries,Lost,G.I.s,"World War I & Prohibition (Third Turning, 1908–1929) was an era of rapid technological change, egocentric celebrities, widening class divisions, crumbling trusts and unions, and expert—but weak—political leadership. Following World War I, the public immersed itself in moral crusades (League of Nations, Prohibition, Women Suffrage). By the '20s, a fun-filled financial boom was framed by pessimistic debates over drugs, sex, money, cynicism, violence, immigration, and the family."
The Great Depression & World War II,4,1929,1946,Great Power,Missionaries,Lost,G.I.s,Silent,"The Great Depression & World War II (Fourth Turning, 1929–1946) began suddenly with the Black Tuesday stock-market crash. After a three-year economic free fall, the Great Depression triggered the New Deal revolution, a vast expansion of government, and hopes for a renewal of national community. After Pearl Harbor, America planned, mobilized, and produced for war on a scale that made possible the massive D-Day invasion (in 1944). Two years later, the crisis mood eased with America's surprisingly trouble-free demobilization."
The American High,1,1946,1964,Millennial,Lost,G.I.s,Silent,Boomers,"The American High (First Turning, 1946–1964) witnessed America's ascendancy as a global superpower. Social movements stalled. The middle class grew and prospered. Churches buttressed government. Huge peacetime defense budgets were uncontroversial. Mass tastes thrived atop a collectivist infrastructure of suburbs, interstates, and regulated communication. Declaring ""an end to ideology,"" respected authorities presided over a bland, modernist, and spirit-dead culture."
The Consciousness Revolution,2,1964,1984,Millennial,G.I.s,Silent,Boomers,Xers,"The Consciousness Revolution (Second Turning, 1964–1984), which began with urban riots and campus fury, swelled alongside Vietnam war protests and a rebellious ""counterculture."" It gave rise to feminist, environmental, and black power movements—and to a steep rise in violent crime and family breakup. After the fury peaked with Watergate (in 1974), passions turned inward toward New Age lifestyles and spiritual rebirth. The mood expired during Reagan's upbeat reelection campaign, as onetime hippies reached their yuppie chrysalis."
The Long Boom & Culture Wars,3,1984,2008,Millennial,Silent,Boomers,Xers,Millennials,"The Long Boom & Culture Wars (Third Turning, 1984– 2008) opened with triumphant ""Morning in America"" individualism; drifted toward celebrity scandal and a stock market boom; experienced a brief moment of ""war on terror"" unity; and then ended with yet another equity bubble. People felt optimistic about their personal lives, but pessimistic about the country. They worried about rising violence and incivility, widening inequality, and the splitting of the national consensus into competing ""values"" camps."
The Global Financial Crisis,4,2008,2029,Millennial,Boomers,Xers,Millennials,Homelanders,"The Global Financial Crisis (Fourth Turning, 2008-2029?) was recently catalyzed by the 2008 global financial meltdown— leading to the most severe global economic downturn since the Great Depression—and by the historic Presidential election of that same year. With public trust continuing to ebb, the regeneracy phase of this crisis (in which civic purpose begins strengthen) still seems years away, and the crisis climax is well over a decade distant. Most likely, this Fourth Turning will come to an end in the late 2020s, just as the rising Homeland Generation is beginning to embark on careers."
